category,subcategory,url
Kitchenware,Food Storage,https://www.amazon.com/s?k=STORAGE+CANISTERS&crid=136GY85F1RJHY&sprefix=storage+canisters%2Caps%2C379&ref=nb_sb_noss_1
Kitchenware,Food Storage,https://www.amazon.com/s?k=STORAGE+CONTAINERS&crid=PSJ5I8L7U8X4&sprefix=storage+containers%2Caps%2C394&ref=nb_sb_noss_1
Kitchenware,Glassware & Drinkware,https://www.amazon.com/s?k=COFFEE+MUGS+%26+TEA+CUPS&crid=3OTAZADMU1GZ8&sprefix=coffee+mugs+%26+tea+cups%2Caps%2C379&ref=nb_sb_noss_2
Kitchenware,Glassware & Drinkware,https://www.amazon.com/s?k=DRINKING+GLASSES&crid=2Q113VOT9Q1AF&sprefix=drinking+glasses%2Caps%2C397&ref=nb_sb_noss_1
Kitchenware,Glassware & Drinkware,https://www.amazon.com/s?k=DRINKWARE+ACCESSORIES&crid=2YKI1ASK369IH&sprefix=drinkware+accessories%2Caps%2C384&ref=nb_sb_noss_1
Kitchenware,Glassware & Drinkware,https://www.amazon.com/s?k=SPECIALTY+GLASSWARE&crid=SXKDKT34N0OI&sprefix=specialty+glassware%2Caps%2C382&ref=nb_sb_noss_1
Kitchenware,Glassware & Drinkware,https://www.amazon.com/s?k=TEA+%26+COFFEE+MAKERS&crid=20MUZSO6ETQZW&sprefix=tea+%26+coffee+makers%2Caps%2C412&ref=nb_sb_noss_2
Kitchenware,Glassware & Drinkware,https://www.amazon.com/s?k=WINE+GLASSES+%26+FLUTES&crid=2Q3M6WWF2GDZ2&sprefix=wine+glasses+%26+flutes%2Caps%2C419&ref=nb_sb_noss_2
Kitchenware,Kitchen Organization,https://www.amazon.com/s?k=FRUIT+BASKETS+%26+HOLDERS&crid=1IBK54G8K1449&sprefix=fruit+baskets+%26+holders%2Caps%2C437&ref=nb_sb_noss_2
Kitchenware,Kitchen Organization,https://www.amazon.com/s?k=KITCHEN+COMPOSTERS&crid=3T2STV00810OZ&sprefix=kitchen+composters%2Caps%2C393&ref=nb_sb_noss_1
Kitchenware,Kitchen Organization,https://www.amazon.com/s?k=MUG+RACKS+%26+POD+HOLDERS&crid=1VV929SCRJLZ9&sprefix=mug+racks+%26+pod+holders%2Caps%2C389&ref=nb_sb_noss
